date,y_hat,y_real,alpha,signal,signal_prev,cost,pnl
2025-05-28,0.01679831251525777,0.053719711413446634,100.0,1,1.0,0.0,0.053719711413446634
2025-05-29,0.009025471007794512,-0.003382401947412255,100.0,1,1.0,0.0,-0.003382401947412255
2025-05-30,0.0015052326316227823,0.002660563217107475,100.0,1,1.0,0.0,0.002660563217107475
2025-06-02,0.006496603747704028,0.010139092347327018,100.0,1,1.0,0.0,0.010139092347327018
2025-06-03,0.007866519043557122,0.006845241846128049,100.0,1,1.0,0.0,0.006845241846128049
2025-06-04,-0.00017233402303780052,0.0017600061090249012,100.0,-1,1.0,0.0,0.0017600061090249012
2025-06-05,0.003743972066309585,0.017841103412883145,100.0,1,-1.0,0.0,-0.017841103412883145
2025-06-06,0.021223253903671697,0.010319148125275429,100.0,1,1.0,0.0,0.010319148125275429
2025-06-09,0.01561771714284623,0.00042056328289591686,100.0,1,1.0,0.0,0.00042056328289591686
2025-06-10,0.010995185674461233,0.004574399323707314,100.0,1,1.0,0.0,0.004574399323707314
2025-06-11,0.00792774523824543,-0.006039348420555595,100.0,1,1.0,0.0,-0.006039348420555595
2025-06-12,0.023957102618811968,-0.017532133425559288,100.0,1,1.0,0.0,-0.017532133425559288
2025-06-13,0.017932497842283148,0.009673458633294208,100.0,1,1.0,0.0,0.009673458633294208
2025-06-16,0.01689838466076608,-0.0013832005992222114,100.0,1,1.0,0.0,-0.0013832005992222114
2025-06-17,0.013242771756067234,-0.0007635485347384402,100.0,1,1.0,0.0,-0.0007635485347384402
2025-06-18,0.018745923581356218,-0.00020622679103848051,100.0,1,1.0,0.0,-0.00020622679103848051
2025-06-20,0.00809784831882522,-0.009429132718573601,100.0,1,1.0,0.0,-0.009429132718573601
2025-06-23,-0.0017477762479900269,0.00959520984830237,100.0,-1,1.0,0.0,0.00959520984830237
2025-06-24,0.020862641700314898,0.00922044681861728,100.0,1,-1.0,0.0,-0.00922044681861728
2025-06-25,-0.0014015857624235678,0.0107642162495956,100.0,-1,1.0,0.0,0.0107642162495956
2025-06-26,0.00408835819107199,0.00655817319780433,100.0,1,-1.0,0.0,-0.00655817319780433
